Epeak p_NT gamma logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.7 0.4 2.0 -2.0 2.0 0.02 8.67 24.819 68.372 147.488 187.59 100.0 1705.267 279.273 45.658 0.986 129.352 34.069 8.572 1.358 5.762 15.186 1.524 4.874 29.747
-1.7 0.1 2.0 -1.0 2.0 0.02 8.67 15.327 219.106 265.676 148.153 100.0 2052.477 275.733 16.081 3.082 59.177 34.38 8.472 0.554 2.486 14.959 0.658 2.102 28.999
-1.7 0.25 2.0 -1.0 2.0 0.02 8.67 13.249 377.952 316.731 221.081 100.0 2206.337 278.531 33.106 39.256 73.649 30.845 8.236 1.528 7.997 14.612 2.116 6.764 28.366
-1.7 0.4 2.0 -1.0 2.0 0.02 8.67 11.231 519.776 349.909 295.248 100.0 2061.268 283.904 57.823 86.168 92.344 26.566 7.941 2.604 14.211 14.257 3.759 12.019 27.78
-1.0 0.1 2.0 -4.0 2.0 0.02 8.67 19.957 0.023 177.395 29.938 100.0 46.219 290.758 325.934 44.106 112.827 41.339 8.335 5.969 27.257 15.057 7.211 23.054 29.647
-1.0 0.25 2.0 -4.0 2.0 0.02 8.67 19.767 0.023 173.842 29.197 100.0 43.27 291.429 320.831 45.008 121.429 41.205 8.309 6.076 28.492 15.025 7.537 24.098 29.618
-1.0 0.4 2.0 -4.0 2.0 0.02 8.67 19.428 0.023 168.373 28.117 100.0 39.294 292.388 312.915 46.185 132.877 40.923 8.274 6.221 30.183 14.983 7.985 25.529 29.588
-1.0 0.1 2.0 -3.5 2.0 0.02 8.67 25.298 0.839 255.939 103.459 100.0 1625.578 286.227 185.577 2.59 174.223 34.297 8.204 2.502 9.608 14.91 4.452 8.126 28.765
-1.0 0.25 2.0 -3.5 2.0 0.02 8.67 25.115 0.823 249.581 101.434 100.0 1571.791 287.654 189.478 2.844 183.539 34.125 8.149 2.761 11.854 14.866 4.909 10.026 28.688
-1.0 0.4 2.0 -3.5 2.0 0.02 8.67 24.666 0.791 239.544 97.771 100.0 1480.014 289.75 194.925 3.392 195.338 33.784 8.074 3.162 15.109 14.807 5.569 12.78 28.605
-1.0 0.1 2.0 -3.0 2.0 0.02 8.67 28.389 18.418 329.596 301.53 100.0 500.423 289.146 310.781 11.594 223.506 29.852 8.257 4.166 16.83 14.778 2.542 14.235 29.189
-1.0 0.25 2.0 -3.0 2.0 0.02 8.67 28.239 18.377 319.827 299.45 100.0 475.724 290.166 308.84 12.036 230.621 29.579 8.219 4.325 18.557 14.718 3.136 15.696 29.138
-1.0 0.4 2.0 -3.0 2.0 0.02 8.67 27.728 18.005 303.933 292.39 100.0 439.392 291.571 305.004 12.693 238.406 29.099 8.167 4.57 21.053 14.639 3.997 17.807 29.078
-1.0 0.1 2.0 -2.0 2.0 0.02 8.67 18.847 521.4 521.9 677.049 100.0 2185.632 282.34 49.429 0.329 115.292 22.31 7.929 0.849 3.925 14.343 1.038 3.319 27.661
-1.0 0.25 2.0 -2.0 2.0 0.02 8.67 18.487 514.583 488.383 677.491 100.0 2083.823 285.403 63.406 5.175 119.688 21.858 7.814 1.434 7.557 14.237 1.999 6.392 27.553
-1.0 0.4 2.0 -2.0 2.0 0.02 8.67 17.953 497.189 443.888 664.704 100.0 1921.161 289.577 82.449 29.719 125.071 21.248 7.663 2.135 11.846 14.103 3.134 10.019 27.415
-1.0 0.1 2.0 -1.0 2.0 0.02 8.67 8.449 755.474 743.272 429.849 100.0 868.438 291.906 36.332 21.464 44.725 8.884 6.563 0.949 5.622 12.988 1.487 4.755 24.673
-1.0 0.25 2.0 -1.0 2.0 0.02 8.67 8.441 601.875 588.475 366.711 100.0 704.769 298.217 64.184 85.427 70.68 10.314 6.413 2.249 13.135 12.909 3.475 11.11 24.775
-1.0 0.4 2.0 -1.0 2.0 0.02 8.67 8.379 459.025 454.703 302.364 100.0 550.042 304.223 89.569 148.787 100.736 11.362 6.226 3.427 20.052 12.771 5.305 16.96 24.668
-1.7 0.1 2.0 -4.0 2.0 0.04 8.971 22.032 0.004 38.982 3.971 100.0 27.83 281.007 541.293 22.614 63.314 38.039 9.127 5.5 22.812 16.226 6.035 19.295 32.313
-1.7 0.25 2.0 -4.0 2.0 0.04 8.971 22.355 0.005 46.124 4.576 100.0 29.832 281.083 563.25 24.206 67.978 38.383 9.108 5.723 23.941 16.191 6.334 20.249 32.24
-1.7 0.4 2.0 -4.0 2.0 0.04 8.971 22.575 0.006 55.176 5.43 100.0 32.234 281.312 589.401 26.37 74.822 38.851 9.079 6.03 25.631 16.143 6.781 21.679 32.145
-1.7 0.1 2.0 -3.5 2.0 0.04 8.971 28.352 0.126 56.106 8.099 100.0 444.237 281.048 281.53 1.334 107.155 36.317 9.142 2.812 5.715 16.198 3.446 4.833 32.375
-1.7 0.25 2.0 -3.5 2.0 0.04 8.971 29.012 0.142 66.91 9.673 100.0 518.78 281.181 296.926 1.442 114.716 36.273 9.094 2.986 6.985 16.151 3.67 5.908 32.178
-1.7 0.4 2.0 -3.5 2.0 0.04 8.971 28.991 0.162 80.12 11.961 100.0 613.761 281.296 319.013 1.642 126.581 36.237 9.026 3.344 9.656 16.076 4.147 8.167 31.897
-1.7 0.1 2.0 -3.0 2.0 0.04 8.971 34.862 1.89 66.631 10.971 100.0 179.164 280.85 472.807 5.975 135.172 35.091 9.117 4.214 13.024 16.253 1.512 11.016 32.228
-1.7 0.25 2.0 -3.0 2.0 0.04 8.971 35.014 2.071 80.928 14.156 100.0 198.418 281.033 493.955 6.379 148.902 34.796 9.091 4.366 13.872 16.163 1.848 11.733 32.138
-1.7 0.4 2.0 -3.0 2.0 0.04 8.971 34.231 2.26 98.362 19.164 100.0 222.663 281.383 519.867 6.964 170.967 34.412 9.046 4.641 15.676 16.041 2.554 13.259 31.989
-1.7 0.1 2.0 -2.0 2.0 0.04 8.971 38.901 16.185 108.86 36.013 100.0 1076.449 279.812 84.815 0.14 136.552 34.264 9.041 0.982 1.834 16.058 0.485 1.551 31.804
-1.7 0.25 2.0 -2.0 2.0 0.04 8.971 36.772 22.617 135.836 60.337 100.0 1375.023 279.629 99.892 0.302 157.591 33.413 8.929 1.413 4.768 15.846 1.261 4.032 31.317
-1.7 0.4 2.0 -2.0 2.0 0.04 8.971 34.136 37.895 168.201 103.69 100.0 1726.605 279.635 130.557 4.581 183.231 32.244 8.79 2.081 9.202 15.591 2.434 7.783 30.728
-1.7 0.1 2.0 -1.0 2.0 0.04 8.971 21.974 242.077 335.988 126.629 100.0 2289.08 276.354 56.46 9.617 99.687 31.251 8.617 1.018 4.624 15.239 1.223 3.911 29.694
-1.7 0.25 2.0 -1.0 2.0 0.04 8.971 18.05 422.41 389.753 225.871 100.0 2620.792 278.617 122.805 91.63 129.079 27.554 8.342 2.775 15.155 14.792 4.009 12.818 28.821
-1.7 0.4 2.0 -1.0 2.0 0.04 8.971 14.973 576.655 413.672 338.102 100.0 2525.178 283.597 215.624 194.838 162.697 23.592 8.028 4.737 27.176 14.365 7.189 22.985 28.074
-1.0 0.1 2.0 -4.0 2.0 0.04 8.971 21.279 0.015 181.471 23.098 100.0 55.637 284.758 912.877 74.638 169.767 42.735 8.681 9.621 46.978 15.508 12.428 39.733 30.698
-1.0 0.25 2.0 -4.0 2.0 0.04 8.971 21.171 0.015 178.874 23.05 100.0 52.789 285.316 904.895 76.49 181.81 42.721 8.655 9.718 48.508 15.474 12.833 41.028 30.659
-1.0 0.4 2.0 -4.0 2.0 0.04 8.971 20.976 0.016 174.726 22.903 100.0 48.833 286.126 891.518 79.045 198.016 42.616 8.619 9.85 50.634 15.426 13.395 42.826 30.608
-1.0 0.1 2.0 -3.5 2.0 0.04 8.971 27.366 0.422 259.642 63.857 100.0 1805.132 281.224 538.827 5.114 258.948 34.937 8.615 3.983 16.653 15.406 7.821 14.085 30.026
-1.0 0.25 2.0 -3.5 2.0 0.04 8.971 27.278 0.42 254.71 64.464 100.0 1779.131 282.2 555.89 5.75 274.505 34.895 8.565 4.28 19.76 15.357 8.431 16.713 29.918
-1.0 0.4 2.0 -3.5 2.0 0.04 8.971 27.056 0.414 246.659 64.875 100.0 1697.602 284.248 568.551 7.004 294.968 34.722 8.496 4.686 23.928 15.287 9.319 20.239 29.89
-1.0 0.1 2.0 -3.0 2.0 0.04 8.971 31.771 7.454 338.201 165.717 100.0 541.793 283.532 865.09 20.716 332.375 29.856 8.638 6.685 29.563 15.32 4.405 25.004 30.343
-1.0 0.25 2.0 -3.0 2.0 0.04 8.971 31.683 7.646 330.76 171.094 100.0 522.218 284.279 867.645 21.698 348.039 29.733 8.601 6.85 31.868 15.252 5.227 26.954 30.275
-1.0 0.4 2.0 -3.0 2.0 0.04 8.971 30.826 7.708 312.176 173.882 100.0 492.628 285.375 867.759 23.181 361.0 29.378 8.549 7.108 35.227 15.177 6.33 29.795 30.179
-1.0 0.1 2.0 -2.0 2.0 0.04 8.971 23.948 482.896 584.145 630.056 100.0 2821.04 278.911 172.004 1.459 202.327 20.578 8.3 1.359 7.37 14.774 1.95 6.234 28.653
-1.0 0.25 2.0 -2.0 2.0 0.04 8.971 23.668 497.028 549.652 660.88 100.0 2762.698 281.482 218.568 18.166 212.554 20.414 8.188 2.232 13.218 14.646 3.497 11.18 28.487
-1.0 0.4 2.0 -2.0 2.0 0.04 8.971 23.293 504.129 502.779 686.486 100.0 2630.07 285.148 282.321 68.105 223.405 20.158 8.037 3.344 20.38 14.48 5.392 17.238 28.273
-1.0 0.1 2.0 -1.0 2.0 0.04 8.971 13.489 899.904 783.23 581.67 100.0 1207.438 291.119 158.696 49.989 92.836 8.529 7.0 1.587 10.917 13.438 2.888 9.234 25.838
-1.0 0.25 2.0 -1.0 2.0 0.04 8.971 13.829 740.564 612.318 523.561 100.0 1000.369 297.498 245.08 195.249 131.155 10.422 6.801 3.993 25.135 13.276 6.649 21.259 25.75
-1.0 0.4 2.0 -1.0 2.0 0.04 8.971 14.088 589.522 465.669 460.46 100.0 802.96 303.641 323.8 350.175 176.048 11.828 6.563 6.187 38.112 13.06 10.082 32.235 25.457
-1.7 0.1 2.0 -4.0 2.0 0.06 9.147 25.068 0.005 37.188 1.364 100.0 21.479 282.58 745.696 23.309 63.542 37.497 9.264 6.377 29.816 16.523 7.888 25.218 33.108
-1.7 0.25 2.0 -4.0 2.0 0.06 9.147 25.223 0.005 44.073 1.621 100.0 23.236 282.544 783.437 25.194 68.698 37.875 9.247 6.656 31.244 16.489 8.266 26.427 33.03
-1.7 0.4 2.0 -4.0 2.0 0.06 9.147 25.263 0.006 52.941 2.003 100.0 25.448 282.586 830.812 27.802 76.24 38.393 9.221 7.03 33.288 16.441 8.806 28.155 32.926
-1.7 0.1 2.0 -3.5 2.0 0.06 9.147 33.393 0.14 54.615 2.63 100.0 262.886 283.083 377.224 1.432 104.382 35.558 9.32 3.135 7.966 16.521 4.762 6.738 33.416
-1.7 0.25 2.0 -3.5 2.0 0.06 9.147 33.799 0.157 65.19 3.26 100.0 323.945 283.007 407.134 1.575 113.109 35.562 9.27 3.332 9.124 16.472 5.012 7.717 33.189
-1.7 0.4 2.0 -3.5 2.0 0.06 9.147 33.712 0.177 78.179 4.197 100.0 405.827 282.915 448.279 1.828 125.79 35.604 9.2 3.727 11.933 16.401 5.507 10.093 32.873
-1.7 0.1 2.0 -3.0 2.0 0.06 9.147 42.077 1.981 66.467 3.476 100.0 126.819 282.505 644.741 6.277 121.757 34.17 9.265 4.841 18.001 16.643 2.107 15.225 33.083
-1.7 0.25 2.0 -3.0 2.0 0.06 9.147 42.311 2.169 80.632 4.538 100.0 143.118 282.508 684.141 6.794 137.525 33.929 9.24 5.033 18.947 16.545 2.414 16.026 32.979
-1.7 0.4 2.0 -3.0 2.0 0.06 9.147 41.519 2.344 97.95 6.324 100.0 163.535 282.679 731.456 7.524 162.47 33.615 9.2 5.334 20.816 16.412 3.157 17.606 32.832
-1.7 0.1 2.0 -2.0 2.0 0.06 9.147 50.003 14.534 116.206 15.863 100.0 729.178 281.833 129.469 0.195 132.837 33.063 9.221 1.188 2.374 16.45 0.628 2.008 32.841
-1.7 0.25 2.0 -2.0 2.0 0.06 9.147 47.31 16.804 145.199 28.66 100.0 1058.167 281.238 157.161 0.455 164.811 32.227 9.085 1.686 5.899 16.182 1.56 4.989 32.192
-1.7 0.4 2.0 -2.0 2.0 0.06 9.147 43.849 24.491 180.066 57.189 100.0 1479.464 280.751 214.875 8.05 205.079 31.091 8.928 2.517 11.648 15.878 3.082 9.852 31.46
-1.7 0.1 2.0 -1.0 2.0 0.06 9.147 29.251 256.507 373.821 107.458 100.0 2191.401 277.365 103.436 15.183 124.907 29.423 8.708 1.369 6.371 15.436 1.685 5.388 30.205
-1.7 0.25 2.0 -1.0 2.0 0.06 9.147 23.09 451.593 425.21 213.289 100.0 2679.382 279.101 240.747 132.871 168.513 25.723 8.404 3.719 21.073 14.913 5.575 17.824 29.149
-1.7 0.4 2.0 -1.0 2.0 0.06 9.147 18.58 611.812 441.184 341.743 100.0 2694.92 283.304 433.032 289.237 215.114 22.179 8.085 6.343 37.764 14.442 9.99 31.941 28.294
-1.0 0.1 2.0 -4.0 2.0 0.06 9.147 21.96 0.01 179.983 12.435 100.0 49.417 283.417 1455.851 88.449 189.695 43.225 8.874 11.693 61.265 15.832 16.207 51.818 31.507
-1.0 0.25 2.0 -4.0 2.0 0.06 9.147 21.814 0.01 178.053 12.604 100.0 47.214 283.831 1450.405 90.993 203.001 43.271 8.85 11.785 62.934 15.796 16.649 53.229 31.458
-1.0 0.4 2.0 -4.0 2.0 0.06 9.147 21.562 0.011 174.721 12.803 100.0 44.147 284.486 1437.958 94.443 220.809 43.259 8.815 11.895 65.177 15.745 17.242 55.126 31.398
-1.0 0.1 2.0 -3.5 2.0 0.06 9.147 29.724 0.278 256.076 31.397 100.0 1564.812 280.725 894.682 6.899 288.565 35.002 8.817 4.867 22.03 15.743 10.463 18.633 30.898
-1.0 0.25 2.0 -3.5 2.0 0.06 9.147 29.491 0.274 251.98 32.412 100.0 1564.732 281.372 933.626 7.922 307.511 35.02 8.769 5.177 25.686 15.692 11.154 21.725 30.768
-1.0 0.4 2.0 -3.5 2.0 0.06 9.147 29.062 0.267 244.809 33.598 100.0 1518.734 282.968 963.395 9.929 332.463 34.929 8.697 5.583 30.513 15.618 12.146 25.808 30.685
-1.0 0.1 2.0 -3.0 2.0 0.06 9.147 36.713 3.568 335.552 76.066 100.0 458.889 282.362 1392.795 25.782 372.092 29.503 8.84 8.146 39.549 15.67 5.828 33.451 31.18
-1.0 0.25 2.0 -3.0 2.0 0.06 9.147 36.349 3.624 328.87 81.234 100.0 446.132 282.888 1406.313 27.206 394.473 29.458 8.806 8.306 42.161 15.596 6.795 35.66 31.1
-1.0 0.4 2.0 -3.0 2.0 0.06 9.147 35.009 3.615 312.054 85.841 100.0 425.324 283.732 1417.521 29.338 414.656 29.166 8.755 8.546 45.913 15.503 8.072 38.834 30.995
-1.0 0.1 2.0 -2.0 2.0 0.06 9.147 28.958 412.78 607.704 519.038 100.0 2971.481 277.927 329.561 3.376 264.698 19.633 8.475 1.693 10.434 15.026 2.76 8.825 29.235
-1.0 0.25 2.0 -2.0 2.0 0.06 9.147 28.34 441.509 573.962 565.917 100.0 2979.58 279.967 420.842 29.222 281.346 19.621 8.367 2.716 17.696 14.882 4.681 14.967 29.029
-1.0 0.4 2.0 -2.0 2.0 0.06 9.147 27.621 467.354 527.197 615.576 100.0 2916.533 282.956 545.689 95.77 297.974 19.569 8.222 4.102 26.955 14.698 7.131 22.798 28.768
-1.0 0.1 2.0 -1.0 2.0 0.06 9.147 16.762 1004.321 797.79 628.16 100.0 1461.663 289.233 358.305 74.368 140.249 8.794 7.306 2.074 15.774 13.752 4.173 13.342 26.649
-1.0 0.25 2.0 -1.0 2.0 0.06 9.147 17.362 841.616 619.011 592.537 100.0 1241.78 295.427 517.276 285.132 184.277 10.92 7.085 5.391 35.617 13.539 9.422 30.124 26.455
-1.0 0.4 2.0 -1.0 2.0 0.06 9.147 17.999 684.537 466.517 547.333 100.0 1022.789 301.349 665.603 520.993 236.628 12.534 6.828 8.448 53.758 13.278 14.221 45.468 26.068
-1.7 0.1 2.0 -4.0 3.0 0.006 8.147 17.215 0.005 38.444 10.729 100.0 17.239 283.575 45.458 5.624 21.754 50.956 8.643 1.355 3.276 15.412 0.867 2.771 30.324
-1.7 0.25 2.0 -4.0 3.0 0.006 8.147 18.712 0.006 44.343 11.011 100.0 17.478 284.863 45.073 5.772 22.8 50.428 8.607 1.427 3.781 15.374 1.0 3.198 30.3
-1.7 0.4 2.0 -4.0 3.0 0.006 8.147 18.768 0.007 51.257 11.244 100.0 17.534 286.473 44.395 5.985 24.899 49.602 8.551 1.551 4.632 15.312 1.225 3.918 30.232
-1.7 0.1 2.0 -3.5 3.0 0.006 8.147 21.285 0.141 54.007 34.08 100.0 462.473 282.024 24.386 0.291 41.501 53.428 8.483 0.78 0.917 15.235 0.45 0.775 29.536
-1.7 0.25 2.0 -3.5 3.0 0.006 8.147 21.852 0.168 63.028 36.03 100.0 483.722 283.34 24.549 0.305 43.346 52.224 8.409 0.907 1.8 15.168 0.636 1.523 29.379
-1.7 0.4 2.0 -3.5 3.0 0.006 8.147 21.178 0.202 73.457 38.0 100.0 502.316 284.999 25.024 0.333 46.846 50.649 8.318 1.079 2.969 15.083 0.918 2.511 29.188
-1.7 0.1 2.0 -3.0 3.0 0.006 8.147 23.048 2.126 61.068 73.744 100.0 145.521 282.844 41.891 1.421 60.468 55.784 8.553 1.091 1.701 15.083 0.242 1.439 29.904
-1.7 0.25 2.0 -3.0 3.0 0.006 8.147 22.695 2.653 73.089 83.064 100.0 150.518 284.398 41.563 1.458 63.625 54.434 8.495 1.186 2.405 14.993 0.476 2.034 29.816
-1.7 0.4 2.0 -3.0 3.0 0.006 8.147 21.791 3.372 86.98 93.752 100.0 154.594 286.104 41.193 1.526 68.01 52.549 8.421 1.337 3.469 14.887 0.785 2.934 29.688
-1.7 0.1 2.0 -2.0 3.0 0.006 8.147 20.416 48.448 76.589 144.984 100.0 925.041 279.144 5.075 0.012 52.325 58.628 8.376 0.243 0.545 14.85 0.144 0.461 28.893
-1.7 0.25 2.0 -2.0 3.0 0.006 8.147 19.311 67.586 94.297 177.712 100.0 980.898 280.34 6.517 0.023 53.717 57.359 8.279 0.415 1.502 14.723 0.397 1.271 28.654
-1.7 0.4 2.0 -2.0 3.0 0.006 8.147 17.856 92.522 113.881 213.658 100.0 1012.282 282.409 8.342 0.126 54.344 54.888 8.154 0.607 2.561 14.579 0.678 2.166 28.408
-1.7 0.1 2.0 -1.0 3.0 0.006 8.147 11.252 185.559 161.706 112.94 100.0 1170.066 276.708 1.994 0.249 18.904 54.283 8.193 0.182 0.829 14.524 0.219 0.701 28.0
-1.7 0.25 2.0 -1.0 3.0 0.006 8.147 9.926 280.885 194.533 140.263 100.0 1165.367 279.715 3.981 7.361 23.135 50.376 8.006 0.519 2.581 14.292 0.683 2.183 27.637
-1.7 0.4 2.0 -1.0 3.0 0.006 8.147 8.382 356.527 222.406 161.229 100.0 1057.238 284.295 6.611 18.68 30.035 44.285 7.751 0.924 4.714 14.018 1.247 3.987 27.198
-1.0 0.1 2.0 -4.0 3.0 0.006 8.147 13.556 0.014 149.627 14.591 100.0 16.678 299.367 48.089 12.965 44.151 47.012 7.953 2.26 9.143 14.64 2.419 7.733 28.75
-1.0 0.25 2.0 -4.0 3.0 0.006 8.147 13.305 0.014 144.369 13.871 100.0 15.284 300.008 46.701 13.105 48.057 46.01 7.936 2.338 9.806 14.618 2.594 8.294 28.766
-1.0 0.4 2.0 -4.0 3.0 0.006 8.147 12.779 0.013 136.54 12.863 100.0 13.442 300.855 44.64 13.253 53.008 44.48 7.916 2.443 10.705 14.595 2.832 9.055 28.81
-1.0 0.1 2.0 -3.5 3.0 0.006 8.147 16.567 0.63 218.766 59.568 100.0 652.356 298.543 27.906 0.665 64.381 42.568 7.469 0.907 3.274 14.377 1.494 2.769 27.202
-1.0 0.25 2.0 -3.5 3.0 0.006 8.147 16.093 0.587 209.429 56.057 100.0 611.017 299.849 28.28 0.715 67.664 41.42 7.446 1.069 4.381 14.357 1.727 3.706 27.247
-1.0 0.4 2.0 -3.5 3.0 0.006 8.147 15.215 0.533 196.312 51.437 100.0 552.09 301.62 28.716 0.821 71.778 39.776 7.424 1.298 5.887 14.333 2.059 4.979 27.359
-1.0 0.1 2.0 -3.0 3.0 0.006 8.147 18.578 16.035 276.768 192.64 100.0 197.719 299.586 46.961 3.277 79.351 39.574 7.736 1.539 5.649 14.063 0.866 4.778 28.032
-1.0 0.25 2.0 -3.0 3.0 0.006 8.147 17.854 15.222 263.559 182.299 100.0 181.808 300.569 45.983 3.36 81.022 38.197 7.717 1.649 6.527 14.044 1.159 5.52 28.069
-1.0 0.4 2.0 -3.0 3.0 0.006 8.147 16.677 14.016 243.87 167.23 100.0 161.817 301.723 44.57 3.484 82.573 36.203 7.694 1.815 7.782 14.032 1.557 6.582 28.116
-1.0 0.1 2.0 -2.0 3.0 0.006 8.147 12.482 330.517 383.09 383.22 100.0 902.146 290.108 7.06 0.037 36.518 35.791 7.187 0.319 1.369 13.623 0.362 1.158 26.013
-1.0 0.25 2.0 -2.0 3.0 0.006 8.147 11.69 309.073 352.009 359.399 100.0 825.382 293.101 9.283 0.494 37.895 33.56 7.115 0.581 2.789 13.59 0.738 2.359 26.103
-1.0 0.4 2.0 -2.0 3.0 0.006 8.147 10.709 280.367 314.034 326.817 100.0 727.146 296.753 11.844 5.852 39.978 30.852 7.028 0.877 4.407 13.546 1.166 3.727 26.191
-1.0 0.1 2.0 -1.0 3.0 0.006 8.147 4.249 425.778 550.521 155.565 100.0 421.074 289.828 3.631 4.117 13.135 16.043 6.255 0.35 1.779 12.626 0.471 1.504 23.772
-1.0 0.25 2.0 -1.0 3.0 0.006 8.147 3.822 331.275 451.514 127.662 100.0 344.252 294.806 7.134 19.186 24.0 15.21 6.158 0.865 4.529 12.596 1.198 3.83 23.951
-1.0 0.4 2.0 -1.0 3.0 0.006 8.147 3.478 247.209 368.71 102.117 100.0 277.604 299.406 10.637 35.849 37.152 14.442 6.016 1.38 7.314 12.484 1.935 6.186 23.846
-1.7 0.1 2.0 -4.0 3.0 0.008 8.272 18.138 0.006 38.458 12.366 100.0 21.391 282.843 69.193 7.352 27.932 50.469 8.689 1.767 4.338 15.472 1.147 3.669 30.459
-1.7 0.25 2.0 -4.0 3.0 0.008 8.272 19.527 0.007 44.471 12.797 100.0 21.787 284.004 68.885 7.57 29.278 50.089 8.655 1.851 4.921 15.435 1.302 4.162 30.433
-1.7 0.4 2.0 -4.0 3.0 0.008 8.272 19.641 0.008 51.571 13.212 100.0 21.988 285.523 68.164 7.877 31.851 49.446 8.602 1.995 5.915 15.376 1.565 5.003 30.365
-1.7 0.1 2.0 -3.5 3.0 0.008 8.272 22.213 0.151 54.249 37.234 100.0 542.886 281.238 36.912 0.379 52.554 52.617 8.563 0.997 1.174 15.318 0.593 0.993 29.793
-1.7 0.25 2.0 -3.5 3.0 0.008 8.272 22.837 0.181 63.444 39.752 100.0 574.103 282.345 37.334 0.4 54.926 51.616 8.495 1.151 2.245 15.255 0.809 1.898 29.632
-1.7 0.4 2.0 -3.5 3.0 0.008 8.272 22.252 0.22 74.169 42.551 100.0 603.459 283.8 38.258 0.44 59.499 50.276 8.408 1.362 3.682 15.17 1.148 3.114 29.431
-1.7 0.1 2.0 -3.0 3.0 0.008 8.272 24.022 2.188 61.715 75.324 100.0 175.581 282.012 63.335 1.852 75.23 54.437 8.614 1.412 2.241 15.197 0.311 1.895 30.088
-1.7 0.25 2.0 -3.0 3.0 0.008 8.272 23.697 2.729 74.039 86.206 100.0 182.676 283.423 63.106 1.907 79.657 53.367 8.562 1.521 3.058 15.109 0.594 2.587 30.007
-1.7 0.4 2.0 -3.0 3.0 0.008 8.272 22.875 3.488 88.342 99.236 100.0 189.258 284.992 62.904 2.004 85.824 51.782 8.491 1.702 4.341 15.001 0.974 3.672 29.873
-1.7 0.1 2.0 -2.0 3.0 0.008 8.272 21.302 45.883 79.955 145.934 100.0 1071.515 278.639 7.92 0.017 65.048 56.559 8.463 0.314 0.686 14.984 0.182 0.58 29.191
-1.7 0.25 2.0 -2.0 3.0 0.008 8.272 20.154 65.864 98.605 182.254 100.0 1149.123 279.663 10.006 0.039 67.398 55.531 8.367 0.525 1.869 14.85 0.494 1.581 28.932
-1.7 0.4 2.0 -2.0 3.0 0.008 8.272 18.685 93.416 119.541 224.695 100.0 1202.773 281.511 12.751 0.293 68.961 53.399 8.244 0.763 3.192 14.695 0.844 2.699 28.654
-1.7 0.1 2.0 -1.0 3.0 0.008 8.272 11.38 193.945 180.574 126.218 100.0 1374.175 276.441 3.276 0.785 25.503 52.808 8.25 0.252 1.131 14.607 0.299 0.957 28.187
-1.7 0.25 2.0 -1.0 3.0 0.008 8.272 9.967 301.108 215.906 159.279 100.0 1370.981 279.582 6.556 13.381 31.35 48.573 8.051 0.708 3.513 14.351 0.929 2.971 27.775
-1.7 0.4 2.0 -1.0 3.0 0.008 8.272 8.362 387.29 243.634 185.902 100.0 1230.622 284.539 10.984 32.161 40.461 41.996 7.783 1.248 6.364 14.058 1.683 5.382 27.309
-1.0 0.1 2.0 -4.0 3.0 0.008 8.272 14.939 0.017 151.082 18.36 100.0 21.596 298.111 75.089 17.264 57.27 47.278 8.008 2.922 11.8 14.698 3.122 9.981 28.877
-1.0 0.25 2.0 -4.0 3.0 0.008 8.272 14.651 0.017 146.147 17.522 100.0 19.858 298.762 73.079 17.484 62.233 46.357 7.989 3.012 12.603 14.674 3.334 10.66 28.883
-1.0 0.4 2.0 -4.0 3.0 0.008 8.272 14.104 0.016 138.884 16.339 100.0 17.561 299.61 70.115 17.747 68.624 44.953 7.966 3.137 13.708 14.646 3.626 11.595 28.907
-1.0 0.1 2.0 -3.5 3.0 0.008 8.272 18.491 0.739 221.204 72.772 100.0 833.383 296.407 44.09 0.912 84.175 42.792 7.609 1.182 4.269 14.458 1.937 3.611 27.481
-1.0 0.25 2.0 -3.5 3.0 0.008 8.272 17.997 0.693 212.451 68.885 100.0 783.67 297.798 44.723 0.989 88.545 41.731 7.576 1.375 5.627 14.433 2.221 4.759 27.498
-1.0 0.4 2.0 -3.5 3.0 0.008 8.272 17.11 0.634 199.845 63.649 100.0 710.54 299.712 45.381 1.16 93.979 40.167 7.543 1.65 7.469 14.4 2.629 6.317 27.584
-1.0 0.1 2.0 -3.0 3.0 0.008 8.272 20.723 18.249 282.459 229.65 100.0 252.576 297.925 73.41 4.401 104.471 39.818 7.82 1.999 7.321 14.19 1.129 6.192 28.21
-1.0 0.25 2.0 -3.0 3.0 0.008 8.272 20.018 17.421 269.676 218.659 100.0 233.296 298.936 72.076 4.529 106.816 38.513 7.796 2.129 8.397 14.161 1.488 7.102 28.225
-1.0 0.4 2.0 -3.0 3.0 0.008 8.272 18.807 16.123 250.034 201.719 100.0 208.646 300.173 70.049 4.719 108.836 36.575 7.766 2.325 9.939 14.138 1.976 8.406 28.248
-1.0 0.1 2.0 -2.0 3.0 0.008 8.272 13.288 377.433 403.678 445.624 100.0 1115.083 288.647 11.378 0.065 48.397 34.733 7.348 0.413 1.791 13.769 0.474 1.515 26.347
-1.0 0.25 2.0 -2.0 3.0 0.008 8.272 12.552 355.913 371.876 421.719 100.0 1024.553 291.736 14.766 1.352 50.264 32.685 7.262 0.743 3.598 13.718 0.952 3.043 26.387
