Epeak p_NT gamma logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.7 0.1 2.0 -4.0 2.0 0.008 8.272 16.665 0.005 38.538 11.532 100.0 20.459 282.533 67.458 7.868 26.872 31.525 8.704 1.724 5.244 15.495 1.387 4.436 30.501
-1.7 0.25 2.0 -4.0 2.0 0.008 8.272 17.957 0.006 44.796 12.038 100.0 20.986 283.508 67.534 8.129 28.218 31.584 8.673 1.798 5.754 15.46 1.522 4.866 30.466
-1.7 0.4 2.0 -4.0 2.0 0.008 8.272 18.438 0.008 52.245 12.556 100.0 21.354 284.889 67.222 8.481 30.592 31.623 8.624 1.919 6.614 15.404 1.75 5.594 30.397
-1.7 0.1 2.0 -3.5 2.0 0.008 8.272 20.455 0.137 54.555 34.293 100.0 514.504 280.838 35.775 0.417 50.452 30.238 8.592 0.963 1.307 15.349 0.713 1.106 29.88
-1.7 0.25 2.0 -3.5 2.0 0.008 8.272 21.705 0.166 64.055 36.983 100.0 548.39 281.983 36.03 0.437 52.762 29.878 8.523 1.089 2.248 15.291 0.895 1.901 29.711
-1.7 0.4 2.0 -3.5 2.0 0.008 8.272 21.607 0.203 75.16 39.961 100.0 581.505 283.381 36.643 0.477 57.108 29.418 8.436 1.272 3.593 15.208 1.198 3.039 29.498
-1.7 0.1 2.0 -3.0 2.0 0.008 8.272 22.953 1.994 62.091 68.802 100.0 166.877 281.572 61.611 2.015 72.006 29.584 8.636 1.377 2.696 15.241 0.346 2.281 30.143
-1.7 0.25 2.0 -3.0 2.0 0.008 8.272 23.218 2.498 74.649 79.67 100.0 174.869 282.855 61.634 2.079 76.399 29.0 8.588 1.465 3.382 15.148 0.595 2.861 30.065
-1.7 0.4 2.0 -3.0 2.0 0.008 8.272 22.668 3.215 89.363 92.897 100.0 182.484 284.403 61.559 2.182 82.7 28.253 8.519 1.616 4.528 15.037 0.95 3.83 29.933
-1.7 0.1 2.0 -2.0 2.0 0.008 8.272 21.289 41.909 80.201 137.454 100.0 1024.544 278.558 7.325 0.019 62.535 29.663 8.484 0.291 0.631 15.016 0.167 0.534 29.267
-1.7 0.25 2.0 -2.0 2.0 0.008 8.272 20.339 60.977 99.356 174.851 100.0 1111.616 279.451 8.575 0.033 65.322 28.78 8.388 0.482 1.765 14.879 0.467 1.493 28.992
-1.7 0.4 2.0 -2.0 2.0 0.008 8.272 19.032 87.89 121.157 219.936 100.0 1178.253 281.13 10.666 0.14 67.444 27.521 8.265 0.699 3.05 14.72 0.807 2.58 28.691
-1.7 0.1 2.0 -1.0 2.0 0.008 8.272 11.814 187.937 182.921 127.129 100.0 1353.153 276.273 2.873 0.235 24.867 28.883 8.26 0.221 1.018 14.62 0.269 0.861 28.205
-1.7 0.25 2.0 -1.0 2.0 0.008 8.272 10.527 299.539 221.089 164.773 100.0 1371.607 279.206 5.889 9.68 30.488 26.155 8.059 0.616 3.178 14.359 0.841 2.688 27.766
-1.7 0.4 2.0 -1.0 2.0 0.008 8.272 8.964 390.965 251.369 196.086 100.0 1242.845 284.254 10.392 23.889 38.629 22.703 7.791 1.055 5.62 14.074 1.487 4.753 27.323
-1.0 0.1 2.0 -4.0 2.0 0.008 8.272 14.596 0.016 152.703 17.827 100.0 21.143 297.648 74.133 18.294 55.196 32.348 8.032 2.795 12.793 14.728 3.384 10.821 28.938
-1.0 0.25 2.0 -4.0 2.0 0.008 8.272 14.38 0.016 148.443 17.102 100.0 19.535 298.276 72.468 18.56 59.952 32.162 8.012 2.87 13.509 14.703 3.574 11.426 28.931
-1.0 0.4 2.0 -4.0 2.0 0.008 8.272 13.973 0.016 142.074 16.077 100.0 17.405 299.125 69.971 18.883 66.13 31.819 7.987 2.972 14.478 14.672 3.83 12.246 28.938
-1.0 0.1 2.0 -3.5 2.0 0.008 8.272 18.268 0.694 223.083 70.173 100.0 819.449 295.873 41.943 0.992 82.02 25.976 7.639 1.139 4.567 14.487 2.108 3.863 27.54
-1.0 0.25 2.0 -3.5 2.0 0.008 8.272 17.921 0.659 215.477 66.979 100.0 773.876 297.297 42.592 1.064 86.508 25.824 7.602 1.302 5.83 14.457 2.369 4.931 27.539
-1.0 0.4 2.0 -3.5 2.0 0.008 8.272 17.219 0.602 203.76 62.126 100.0 712.797 299.05 43.733 1.216 91.998 25.526 7.554 1.555 7.647 14.421 2.743 6.468 27.515
-1.0 0.1 2.0 -3.0 2.0 0.008 8.272 20.757 17.312 284.966 224.192 100.0 245.364 297.427 71.772 4.744 102.522 21.6 7.847 1.926 7.968 14.22 1.208 6.739 28.269
-1.0 0.25 2.0 -3.0 2.0 0.008 8.272 20.231 16.593 273.366 214.439 100.0 228.888 298.391 70.711 4.877 105.094 21.4 7.82 2.035 8.954 14.185 1.542 7.573 28.262
-1.0 0.4 2.0 -3.0 2.0 0.008 8.272 19.35 15.613 257.371 201.047 100.0 204.699 299.706 69.068 5.071 108.5 21.095 7.787 2.199 10.369 14.134 2.023 8.77 28.274
-1.0 0.1 2.0 -2.0 2.0 0.008 8.272 13.743 365.176 407.727 452.115 100.0 1102.563 288.432 9.906 0.063 47.67 16.625 7.362 0.384 1.788 13.782 0.473 1.513 26.369
-1.0 0.25 2.0 -2.0 2.0 0.008 8.272 13.129 347.252 378.356 431.624 100.0 1020.936 291.476 12.996 0.46 49.583 16.271 7.27 0.663 3.425 13.725 0.906 2.897 26.382
-1.0 0.4 2.0 -2.0 2.0 0.008 8.272 12.328 321.419 341.614 401.045 100.0 912.289 295.331 17.103 6.119 52.368 15.808 7.155 0.985 5.322 13.649 1.408 4.502 26.379
-1.0 0.1 2.0 -1.0 2.0 0.008 8.272 4.902 458.567 573.528 198.081 100.0 446.054 291.383 5.861 4.941 16.807 7.101 6.223 0.392 2.155 12.632 0.57 1.823 23.776
-1.0 0.25 2.0 -1.0 2.0 0.008 8.272 4.584 358.885 468.011 163.522 100.0 361.736 296.804 11.545 22.76 29.067 7.929 6.119 0.913 5.107 12.614 1.351 4.32 24.002
-1.0 0.4 2.0 -1.0 2.0 0.008 8.272 4.279 266.785 375.372 130.014 100.0 284.252 301.86 17.074 40.452 43.819 8.556 5.984 1.414 8.012 12.532 2.12 6.777 24.013
-1.7 0.1 2.0 -4.0 2.0 0.01 8.369 17.421 0.005 38.471 12.167 100.0 23.482 281.934 93.132 9.574 32.092 31.524 8.749 2.1 6.533 15.557 1.728 5.526 30.645
-1.7 0.25 2.0 -4.0 2.0 0.01 8.369 18.533 0.007 44.832 12.813 100.0 24.209 282.792 93.628 9.928 33.755 31.626 8.72 2.185 7.102 15.523 1.879 6.007 30.605
-1.7 0.4 2.0 -4.0 2.0 0.01 8.369 19.035 0.008 52.442 13.523 100.0 24.789 284.059 93.665 10.396 36.556 31.725 8.673 2.319 8.048 15.469 2.129 6.807 30.536
-1.7 0.1 2.0 -3.5 2.0 0.01 8.369 21.109 0.137 54.677 34.216 100.0 558.086 280.363 49.104 0.506 59.343 30.172 8.66 1.151 1.596 15.43 0.891 1.35 30.128
-1.7 0.25 2.0 -3.5 2.0 0.01 8.369 22.357 0.165 64.319 37.294 100.0 600.806 281.332 49.699 0.533 62.168 29.868 8.596 1.29 2.646 15.374 1.086 2.238 29.957
-1.7 0.4 2.0 -3.5 2.0 0.01 8.369 22.331 0.204 75.673 40.912 100.0 645.448 282.523 50.881 0.584 67.434 29.478 8.513 1.499 4.187 15.292 1.425 3.541 29.734
-1.7 0.1 2.0 -3.0 2.0 0.01 8.369 23.716 1.95 62.557 64.454 100.0 185.861 280.997 84.429 2.446 83.226 29.419 8.692 1.665 3.368 15.348 0.422 2.849 30.33
-1.7 0.25 2.0 -3.0 2.0 0.01 8.369 23.982 2.419 75.332 75.679 100.0 196.035 282.13 84.847 2.53 88.741 28.9 8.648 1.758 4.105 15.256 0.7 3.472 30.255
-1.7 0.4 2.0 -3.0 2.0 0.01 8.369 23.471 3.103 90.405 90.076 100.0 206.339 283.524 85.259 2.667 96.878 28.228 8.582 1.927 5.386 15.143 1.108 4.555 30.118
-1.7 0.1 2.0 -2.0 2.0 0.01 8.369 22.239 38.091 83.034 130.422 100.0 1112.128 278.299 10.46 0.025 72.654 29.334 8.557 0.351 0.742 15.137 0.196 0.628 29.542
-1.7 0.25 2.0 -2.0 2.0 0.01 8.369 21.211 56.706 102.974 169.167 100.0 1221.735 279.05 12.228 0.046 76.61 28.484 8.462 0.57 2.061 14.993 0.545 1.744 29.25
-1.7 0.4 2.0 -2.0 2.0 0.01 8.369 19.856 84.416 125.883 218.22 100.0 1313.255 280.535 15.245 0.226 79.965 27.269 8.34 0.821 3.571 14.825 0.945 3.02 28.923
-1.7 0.1 2.0 -1.0 2.0 0.01 8.369 12.119 191.911 199.034 134.804 100.0 1507.63 276.073 4.407 0.567 31.044 28.269 8.309 0.281 1.287 14.694 0.34 1.089 28.373
-1.7 0.25 2.0 -1.0 2.0 0.01 8.369 10.713 312.241 239.145 178.189 100.0 1534.632 279.081 9.081 14.847 38.227 25.414 8.099 0.775 4.019 14.413 1.063 3.399 27.896
-1.7 0.4 2.0 -1.0 2.0 0.01 8.369 9.091 412.74 269.062 216.035 100.0 1383.559 284.357 15.975 35.221 48.264 21.887 7.821 1.317 7.062 14.111 1.868 5.973 27.42
-1.0 0.1 2.0 -4.0 2.0 0.01 8.369 15.762 0.018 154.231 20.837 100.0 25.546 296.35 105.6 22.772 67.002 32.647 8.09 3.392 15.561 14.789 4.117 13.162 29.072
-1.0 0.25 2.0 -4.0 2.0 0.01 8.369 15.533 0.018 150.195 20.053 100.0 23.669 296.989 103.36 23.125 72.613 32.489 8.069 3.472 16.373 14.764 4.331 13.848 29.063
-1.0 0.4 2.0 -4.0 2.0 0.01 8.369 15.13 0.018 144.189 18.973 100.0 21.201 297.865 100.077 23.578 80.004 32.186 8.041 3.583 17.488 14.73 4.626 14.791 29.058
-1.0 0.1 2.0 -3.5 2.0 0.01 8.369 19.804 0.745 225.263 79.247 100.0 974.182 293.834 60.394 1.266 100.11 26.238 7.768 1.387 5.594 14.57 2.575 4.731 27.808
-1.0 0.25 2.0 -3.5 2.0 0.01 8.369 19.462 0.712 218.028 76.006 100.0 924.501 295.283 61.376 1.365 105.594 26.104 7.726 1.569 7.046 14.536 2.874 5.959 27.785
-1.0 0.4 2.0 -3.5 2.0 0.01 8.369 18.777 0.662 206.962 71.162 100.0 854.883 297.131 62.996 1.576 112.363 25.828 7.67 1.851 9.137 14.496 3.301 7.728 27.747
-1.0 0.1 2.0 -3.0 2.0 0.01 8.369 22.384 18.189 289.925 247.299 100.0 290.503 295.822 102.34 5.956 125.733 21.857 7.93 2.344 9.733 14.341 1.48 8.232 28.45
-1.0 0.25 2.0 -3.0 2.0 0.01 8.369 21.909 17.588 278.765 238.333 100.0 271.878 296.816 101.004 6.136 129.11 21.675 7.9 2.463 10.863 14.299 1.864 9.188 28.433
-1.0 0.4 2.0 -3.0 2.0 0.01 8.369 21.071 16.669 262.879 225.012 100.0 245.817 298.125 98.792 6.391 133.336 21.379 7.863 2.641 12.477 14.242 2.417 10.553 28.429
-1.0 0.1 2.0 -2.0 2.0 0.01 8.369 14.467 395.64 424.707 496.825 100.0 1283.801 287.153 14.717 0.096 59.079 16.37 7.5 0.463 2.2 13.911 0.582 1.861 26.67
-1.0 0.25 2.0 -2.0 2.0 0.01 8.369 13.914 379.277 394.778 478.302 100.0 1193.282 290.256 19.189 0.867 61.471 16.057 7.4 0.791 4.156 13.841 1.099 3.515 26.649
