alpha logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.4 -3.0 2.0 0.06 9.147 39.954 3.003 208.049 21.416 100.0 868.016 281.201 613.643 2.998 241.102 31.921 9.046 5.432 14.496 16.094 3.835 12.26 31.976
-1.4 -2.0 2.0 0.06 9.147 37.312 110.949 388.736 187.437 100.0 2258.329 278.068 221.134 0.8 229.225 26.525 8.793 2.027 6.762 15.576 1.789 5.719 30.556
-1.4 -1.0 2.0 0.06 9.147 15.615 903.159 801.608 450.175 100.0 2096.374 279.274 271.128 42.595 152.022 13.964 8.0 2.363 12.476 14.344 3.3 10.552 27.732
-1.4 -4.0 3.0 0.006 8.147 16.727 0.012 101.556 14.095 100.0 20.764 291.303 47.484 8.065 30.916 49.45 8.306 2.381 6.477 15.029 1.713 5.478 29.563
-1.4 -3.5 3.0 0.006 8.147 19.724 0.451 149.035 53.785 100.0 205.264 290.666 44.751 2.03 53.716 48.279 8.147 1.796 4.06 14.785 1.074 3.434 28.922
-1.4 -3.0 3.0 0.006 8.147 21.329 9.078 183.74 153.496 100.0 642.984 289.184 26.269 0.422 74.303 48.804 7.994 1.183 2.47 14.545 0.653 2.089 28.294
-1.4 -2.0 3.0 0.006 8.147 16.361 207.14 249.824 308.984 100.0 1078.897 283.042 6.58 0.022 47.048 50.245 7.859 0.391 1.102 14.232 0.291 0.932 27.416
-1.4 -1.0 3.0 0.006 8.147 7.19 472.843 473.114 169.083 100.0 867.373 281.492 3.171 1.235 16.24 34.895 7.338 0.351 1.335 13.53 0.353 1.129 25.717
-1.4 -4.0 3.0 0.008 8.272 17.924 0.014 102.259 17.148 100.0 26.454 290.18 73.491 10.662 39.885 49.475 8.361 3.075 8.331 15.091 2.204 7.047 29.699
-1.4 -3.5 3.0 0.008 8.272 21.228 0.507 150.333 62.906 100.0 256.701 289.221 69.139 2.691 69.295 48.181 8.228 2.321 5.218 14.872 1.381 4.414 29.113
-1.4 -3.0 3.0 0.008 8.272 22.838 9.796 186.843 173.082 100.0 798.379 287.373 40.855 0.564 95.797 48.569 8.114 1.529 3.174 14.67 0.84 2.685 28.567
-1.4 -2.0 3.0 0.008 8.272 17.09 224.752 262.755 341.76 100.0 1308.036 281.737 10.418 0.035 60.872 48.881 7.984 0.509 1.429 14.368 0.378 1.209 27.714
